EquipID,License#,Year,Make,Model,Description,Dept,InServiceDate,Estimated Replacement Year,Equipment Type,InServiceCost
81195,48049D,2008,TOYOTA,PRIUS,SEDAN COMPACT HYBRID,SPD,06/16/2008,2018,SEDAN - SML - HYBRID,"24,509.18"
30923,51406D,2010,FORD,F350,PICKUP - FLATBED - CLASS 4,SDOT,02/01/2010,2020,TRUCK - LIGHT,"51,593.79"
31843,55943D,2012,PETERBILT,348,TRUCK 68` AERIAL -CLASS 8,SCL,10/16/2014,2030,TRUCK - AERIAL - BUCKET,"526,634.99"
31623,53085D,2011,PETERBILT,337,TRUCK - EDUCTOR - VAC CON,SCL,10/03/2011,2021,TRUCK - EDUCTOR,"269,756.10"
71922,,2009,JOHN DEERE,GATOR,UTILITY VEHICLE 4 WHEEL,SCL,03/17/2009,2019,UTILITY VEHICLE,"45,933.00"
31841,55944D,2012,PETERBILT,348,TRUCK 68` AERIAL -CLASS 8,SCL,09/25/2014,2030,TRUCK - AERIAL - BUCKET,"524,426.90"
31844,54928D,2012,PETERBILT,365,TRUCK POLE CRANE W/ FLATBED - CLASS 8,SCL,08/20/2013,2028,TRUCK - FLATBED,"368,166.05"
31845,54927D,2012,PETERBILT,365,TRUCK POLE CRANE W/ FLATBED -CLASS 8,SCL,09/05/2013,2029,TRUCK - FLATBED,"371,578.03"
31846,54924D,2012,PETERBILT,337,TRUCK - AERIAL LIFT 55` - TREE TRIMMER,SCL,01/23/2013,2029,TRUCK - AERIAL - BUCKET,"276,166.19"
31847,54984D,2013,PETERBILT,348,TRUCK CRANE W/ FLATBED CLASS 7,SCL,04/10/2013,2028,TRUCK - HEAVY,"209,388.94"
31850,54979D,2012,PETERBILT,348,TRUCK 40` AERIAL W/ SVC BODY -CLASS 7,SCL,03/10/2014,2028,TRUCK - AERIAL - BUCKET,"239,539.88"
93539,50393D,2009,FORD,E350,CARGO VAN,SPU,08/03/2009,2019,VAN,"46,848.66"
52146,41493D,2005,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,SCL,10/06/2005,2015,SEDAN - SML - HYBRID,"24,595.46"
88210,49493D,2008,TRAILKING,TKT20,TRAILER - TILT DECK - 20000 LB GVWR,DPR,01/22/2009,2024,TRAILER,"34,185.74"
31851,54983D,2013,PETERBILT,348,TRUCK 3 YARD DUMP - CLASS 7,SCL,02/14/2013,2028,TRUCK - DUMP TRUCK,"162,568.89"
75020,47433D,2005,INTERNATIONAL,7500,TRUCK - DIGGER DERRICK - CLASS 8,SCL,05/28/2008,2021,TRUCK - DIGGER DERRICK,"119,511.67"
06605,,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,08/23/2000,2010,FORKLIFT,"35,285.44"
04111,31718D,2000,CHEVROLET,ASTRO,CARGO MINIVAN,SCL,12/19/2000,2010,VAN - MINIVAN,"24,180.20"
79278,49449D,2009,GMC,WORK HORSE,WALKIN VAN - CLASS 4,SCL,07/15/2009,2025,VAN - WALKIN,"140,349.63"
30903,51559D,2010,FORD,F550,TRUCK SEWER RODDER,SPU,06/03/2010,2022,TRUCK - SEWER RODDER,"115,572.19"
31854,55082D,2012,PETERBILT,365,12 YARD DUMP TRUCK -CLASS 8,SCL,02/12/2013,2028,TRUCK - DUMP TRUCK,"236,866.72"
31855,55083D,2012,PETERBILT,365,12 YARD DUMP TRUCK -CLASS 8,SCL,02/14/2013,2028,TRUCK - DUMP TRUCK,"216,764.28"
96581,50298D,2009,INGERSOLL RAND,P185WJD,AIR COMPRESSOR - TRAILER MOUNTED,SPU,08/01/2009,2024,COMPRESSOR,"24,068.10"
78331,48158D,2008,FORD,F550,TRUCK - FLATBED - CLASS 5,SCL,02/10/2009,2019,TRUCK - FLATBED,"80,076.23"
79281,49448D,2009,GMC,WORK HORSE,UTILIMASTER STEP VAN  12`  16000 GVWR,SCL,09/10/2010,2025,VAN - WALKIN,"140,105.31"
79282,50246D,2009,GMC,WORK HORSE,WALKIN VAN - CLASS 4,SCL,09/17/2009,2025,VAN - WALKIN,"140,163.76"
31886,54475D,2012,NISSAN,LEAF,SEDAN SUBCOMPACT ELECTRIC,SDCI,10/10/2012,2024,SEDAN - SML - ELECTRIC,"34,422.23"
77110,46839D,2008,WELLS CARGO,CW1422-102,TRAILER - ENCLOSED - 7700 LB GVWR,SCL,02/04/2008,2028,TRAILER,"30,000.00"
79289,50248D,2009,GMC,WORK HORSE,WALKIN VAN - CLASS 4,SCL,10/14/2009,2025,VAN - WALKIN,"142,649.74"
