ID,Contract Number,Program Area,Award Year,Project Title,Organization Name,Project Description,Awarded Amount,Pledged Match Amount,Seattle Electoral District,Neighborhood District
P19036,P19036,Community Partnership Fund,2019,Project SWISH,The Swish Program Steering Committee,"SWISH (Serving With Integrity and Shooting Hoops) Is a pilot program created to serve African American young men through basketball & mentorship. This 14 week program for 30 youth will include  basketball skills training, and educational workshops.  The culminating event will be a 'Shots for Hope' tournament for the entire community.  The program  will  operate  Monday through Wednesday from 1-4pm at Cleveland High  School, 5511 - 15th Avenue South.","25,000","27,000",District 2,
P19034,P19034,Community Partnership Fund,2019,Cultural Event to Celebrate Arab Culture in WA,Seattle Arab Festival,"The Seattle Arab Festival  is scheduled for  August 10-11 at  Seattle Center, 305 Harrison Street. This project includes the construction of a souk (market) where artists and vendors can display their goods in an authentic setting.","10,800","24,400",District 7,
P19033,P19033,Community Partnership Fund,2019,The Coder's Club at Garfield TLC,Renaissance 21,"Renaissance 21 will run a 10-week after school program at Garfield Teen Life Center located at 428 23rd Avenue. The program will train 10-12 youth to develop mobile and desktop websites.  In addition to paid instructors, STEM professionals, college, and high school volunteers will serve as mentors to the program participants. This project will be completed by January 31, 2020.","24,994","12,737",District 3,
P19032,P19032,Community Partnership Fund,2019,Ethiopian Women and Family Culture Festival,Ethiopian Women Mothers & Family,"This project will celebrate the empowerment of Ethiopian women in Seattle. This all day event will take place on the street of E cherry between MLK Jr. way S. and 23rd street. This event will celebrate the achievements of Ethiopian women through arts and culture, speakers presentations , family entertainment , and role model awards.","25,000","23,875",District 3,
P19030,P19030,Community Partnership Fund,2019,Pianos in the Parks,One Reel,"Pianos in the Parks enables neighborhoods to showcase local  artists and bring communities together for free outdoor musical performances.  Participating neighborhoods will have the opportunity to present talented artists and musicians in their area and each will have one paid position for an artist to be assigned a piano in their park. This project will be completed by January 31, 2020.","25,000","45,340",Citywide (One or more Districts),
P19029,P19029,Community Partnership Fund,2019,Festival Sundiata Black Arts Fest 2019,Sundiata African American Cultural Association,"Festival Sundiata Black Arts Fest, an annual celebration of people of African descent is scheduled for Friday June 14 through Sunday, June 16, 2019  at Seattle Center, 305 Harrison Street.  The event includes, music, dance, historical exhibits and arts and crafts.","25,000","26,140",Citywide (One or more Districts),
P19026,P19026,Community Partnership Fund,2019,Family Variety Show,Group for Promotion of Family Entertainment in Seattle,"To improve the accessibility of the arts to everyone, regardless of age or income, we propose producing twelve monthly family friendly variety shows to take place over a year.  We will focus on including the many different kinds and nationalities of performing arts, circus arts, and musical styles in Seattle.","22,888","27,430",Citywide (One or more Districts),
P19025,P19025,Community Partnership Fund,2019,Public Life Study,Cal Anderson Park Alliance,"This public life study will gather and analyze data in support of developing a shared community vision for public space within the Capitol Hill EcoDistrict. This project is the first phase of a larger enterprise that will see the creation of a public realm plan for the Capitol Hill neighborhood. This phase of the project will be completed by January 31, 2020.","25,000","16,400",District 3,
P19023,P19023,Community Partnership Fund,2019,Interbay P-Patch Tool Shed Roof Replacement,Interbay P-Patch Community Gardeners,"Over the next six months the  Interbay neighborhood will organize and facilitate the replacement of the tool/kitchen shed roof at the Interbay P-Patch.   The project includes a site clean up, scheduled work parties and a celebration.","12,177","6,500",District 7,
P19022,P19022,Community Partnership Fund,2019,HONK!Fest West,HONK!Fest West,"HONK! Fest West is an accessible community music festival driven by the energetic performances of street bands in public spaces. This free and immersive festival occurs annually in June, and is 100% volunteer-run, performed, and organized. HONK! is part of a global renaissance of street band culture occurring in Seattle since 2008.","24,202","21,433",District 1,
P19021,P19021,Community Partnership Fund,2019,Terry Avenue Community Engagement & Design,First Hill Improvement Association,"We seek to engage community stakeholders of First Hill in the process of redesigning Terry Avenue between Cherry and Marion Streets. FHIA secured $4 million for the redevelopment of Terry Avenue from the Community Package Coalition, the public mitigation funding for the street and alleyway vacations to build the Washington State Convention Center addition.  This mitigation funding is restricted to only construction activities, so FHIA is seeking funding from the Neighborhood Matching Fund for the design of the Terry Avenue redevelopment.","25,000","18,525",District 3,
P19020,P19020,Community Partnership Fund,2019,El Centro Documentary: A Beloved Community,Association of Beloved Communties,"Association of Beloved Communities will capture the history of Seattle's El Centro in a fifteen minute film.  It will share the inspiring story of the formation and legacy of this iconic institution, where a small nonviolent movement won a victory for justice. The video will be shot in summer 2019 and final product be distributed through media partners and select events focused on inclusive ecosystem-building strategies.","25,000","13,600",District 2,
P19019,P19019,Community Partnership Fund,2019,Nordic Sól - A Celebration of Arctic Culture,Nordic Museum,"August 22nd through the 25th 2019 from 10:00 a.m. - 5:00 p.m. daily, the Nordic Museum located at 2655 NW Market Street will launch a new summer celebration, Nordic Sól. The theme will be a celebration of Arctic culture. In partnership with local and international institutions, Nordic Sól will showcase programming about the Arctic focusing on the environment, people, and culture. This project will be completed by October 31,2019.","25,000","33,500",District 6,
P19018,P19018,Community Partnership Fund,2019,Holman Grove: Creating a Heart for Crown Hill,Crown Hill Village Association,"The Crown Hill Neighborhood Village would like to activate the stretch of 90th between 14th and Mary Ave located at 9250 14th Avenue NW. To test its potential as a 'heart' for the neighborhood, that pulls it away from the fast-moving traffic of the 15th Ave and Holman Rd. There will be a series of community events in the Summer of 2019 to test if the block has the potential to become pedestrian-friendly. All events are free and open to the public.","16,800","19,040",District 6,
P19017,P19017,Community Partnership Fund,2019,Summer Movies in the Park,Ballard Alliance,"The Ballard Alliance will increase activity in Ballard Commons Park, located at 5701 22nd Avenue NW, by hosting five movies and a workout series which will draw in millennials, families, and baby boomers, welcoming all to enjoy a night at the movies or a workout in Ballard Commons Park.  This project will be completed by October 31, 2019.","16,610","9,200",District 6,
P19016,P19016,Community Partnership Fund,2019,The Soufend Art Show,Soufend Arts Council,"The Soufend Arts Council will host a free event to celebrate the creativity, community, and culture of South Seattle.  The event will feature an art exhibit, performances, and interactive art activities.  It will be held August 24, 2019 from 2 pm - 8 pm on S Holly St between Rainier Ave S and 49th Ave S.","18,000","15,580",District 2,
P19015,P19015,Community Partnership Fund,2019,Symphony for Climate Change,Discover Arts in the Park,"Discover Arts in the Park in will organize an outdoor event to explore climate change through the lens of art.  Symphony for Climate Change will take place on August 17, 2019 at the upper field of the Daybreak Star Center in Discovery Park. The event will feature a multimedia symphony, dance performances, and science presentations that will initiate discourse and motivate people to see what practical steps they can take in their own lives and communities to combat climate change.","24,854","14,910",Citywide (One or more Districts),
P19014,P19014,Community Partnership Fund,2019,Lake City Youth at Coyote North,Friends of Lake City Youth at Coyote North,"The Friends of Lake City Youth at Coyote North want to engage the Lake City community in activating a youth-centered creative space at 12325 Lake City Way NE.  This year long project and will do outreach efforts throughout the year to bring together Lake City families from all races, cultures, and backgrounds through open houses, community dinners, exhibits, performances, and free youth arts programs, culminating in a youth-led community celebration.","25,000","24,560",District 5,
P19013,P19013,Community Partnership Fund,2019,Public Works Seattle,Seattle Repertory Theatre,"Through Public Works Seattle, Seattle Rep will use the art of theatre to connect people with one another and with the city as a whole. Working collaboratively with five non-profits, the project will engage over 150 people to participate in free weekly workshops and attend monthly performances at the Seattle Repertory Theater. The project culminates in an ambitious work of participatory theater featuring a large community ensemble, with four free performances for 3,000 attendees.","25,000","828,910",Citywide (One or more Districts),
P19011,P19011,Community Partnership Fund,2019,Belltown 20/20: Organizational Launch,Belltown20|20,"Belltown needs a voice that can bring clear focus, coordinated advocacy, and a stronger community identity. Belltown 20/20 will strengthen outreach efforts, branding, and support for the launch of a consolidated neighborhood leadership organization. This organization and its launch event are next steps of the Belltown 20|20 steering committee after hosting a successful, widely attended community forum funded by the NMF. This project will be completed by January 31, 2020.","25,000","12,560",District 7,
P19010,P19010,Community Partnership Fund,2019,Seattle Design Festival - Design Your Block,Design in Public,"This year, the Seattle Design Festival will expand the reach of the Seattle Design Festival beyond the downtown core and Pioneer Square. We will invite neighborhood groups, residents, business owners, and community organizers to participate in the festival in their own neighborhoods and celebrate neighborhood identity through design.  This project will be completed by January 31, 2020.","25,000","50,000",Citywide (One or more Districts),
P19009,P19009,Community Partnership Fund,2019,Campus Running Loop Construction Document Phase,Friends of Jane Addams Middle School,"The Friends of Jane Adams Middle School is working with design firm Johnson+Southerland, and surrounding community to create Schematic Design and Construction documents for the 1-mile campus running loop located at 11051 34th Ave NE on the Jane Adams Middle School Campus.","20,480","16,830",District 5,
P19007,P19007,Community Partnership Fund,2019,BUILD'N Community,Brothers United In Leadership Development,"BUILD'N Community will celebrate and recognize Seattle's Black community with  a series of family centered events.   The first event a Father's Day Celebration, will be held on Sunday, June 23rd from 1-3 pm at the Royal Esquire Club, 5016 Rainier Avenue South. A Community Car Show and a Community Field Day are planned for later this summer. Each event will include great food, music and activities for all ages.  Activities are free and open to the public.","25,000","20,000",Citywide (One or more Districts),
P19006,P19006,Community Partnership Fund,2019,Our Dementia Friendly City,The Art of Alzheimer's,"The Art of Alzheimer's will build a dementia friendly community, empowering persons with memory loss and their loved ones to live well and remain connected and active in the community. The project will use photography, transit advertising, and resource sharing events to advancing awareness, knowledge, engagement and expansion of this community of support.","25,000","16,275",Citywide (One or more Districts),
P19004,P19004,Community Partnership Fund,2019,Southeast Seattle Childcare Capacity Building,Horn of Africa Services,"Horn of Africa Service will organize capacity building activities tailored for childcare and other small business owners in Southeast Seattle.  This project will focus on the needs of traditionally underrepresented groups such as non-native English speakers, communities of color, immigrants, and immigrant women.  Technical assistance will be provided in finance, record keeping, business development, and other topics identified by participants.","25,000","16,100",District 2,
P19003,P19003,Community Partnership Fund,2019,Ballard Utility Box Beautification Project,Ballard Public Art Committee,"The Ballard Public Art Committee will incorporate more public art on the streets of Ballard through the Utility Box Beautification Project. Located between 17th Avenue NW and 24th Avenue NW, there are six Seattle Department of Transportation utility boxes on NW Market Street that the committee will cover with vinyl wrap art.  This project will be completed by August 31, 2019.","9,295","7,000",District 6,
P19002,P19002,Community Partnership Fund,2019,Othello Park Music and Arts Festival 2019,Othello Park Alliance,"The Othello Park International Music and Arts Festival will be held on August 11, 2019 from noon to 6:00 pm at 4351 S. Othello St.  There will be music, food, a petting zoo, art and dance for all ages and cultures to strengthen neighborhood unity and identity in one of the most culturally diverse neighborhoods in the nation.","24,186","42,742",District 2,
P18093,P18093,Community Partnership Fund,2018,Preserving Prohibition-Era Historic Jazz Murals,Louisa Hotel Historic Jazz Murals,"Prohibition-era murals were recently uncovered during renovation of the Louisa Hotel. This is the only known speakeasy / jazz club from the 1920s with its original murals intact in Seattle. Unfortunately these murals have been damaged by age and fire; the plaster is crumbling and paint peeling. The goal of this project is to is to preserve, restore, and exhibit these murals.","50,000","52,401",District 2,
P18092,P18092,Community Partnership Fund,2018,Eritrean Independence Day Celebration,Eritrean Association of Greater Seattle,"The Eritrean Association of Greater Seattle will organize an Eritrean Independence Day Celebration at Seward Park on May 25, 2019. The family-friendly event will feature Eritrean singers and musicians, local Eritrean children and youth performing traditional dances, poetry readings, drama, and a showcase of visual arts. There will be a soccer tournament the preceding weekend, May 18-19. Several thousand people are expected to attend the festival and tournament.","40,000","39,970",District 3,
