Department,Jobtitle,Female Avg Hrly Rate,No. Female Empl,Male Avg Hrly Rate,No. Male Empl,Total Avg Hrly Rate,Total No. Empl,Total Average of MONTHS LONGEVITY IN CURRENT CLASSIFICATION ,Ratio of women's hourly rate to men's hourly rate - percentage,Notes
Arts and Cultural Affairs,Accountant,,,29.75,1,29.75,1,39,,No women in title
Arts and Cultural Affairs,Actg Tech III,26.79,1,,,26.79,1,56,,No men in title
Arts and Cultural Affairs,Admin Spec III,26.26,1,,,26.26,1,37,,No men in title
Arts and Cultural Affairs,Admin Staff Asst,31.76,2,,,31.76,2,99,,No men in title
Arts and Cultural Affairs,Arts Conserv Tech,27.78,1,27.78,1,27.78,2,65,100,
Arts and Cultural Affairs,Arts Prgm Spec,32.35,5,,,32.35,5,56.4,,No men in title
Arts and Cultural Affairs,"Arts Prgm Spec,Sr",35.93,3,36.3,1,36.02,4,62.5,98.98,
Arts and Cultural Affairs,Events Booking Rep,,,27.78,1,27.78,1,10,,No women in title
Arts and Cultural Affairs,Executive2,,,51.95,1,51.95,1,7,,No women in title
Arts and Cultural Affairs,Info Technol Prof C,,,36.71,1,36.71,1,54,,No women in title
Arts and Cultural Affairs,"Manager1,Exempt",47.33,1,,,47.33,1,147,,No men in title
Arts and Cultural Affairs,"Manager2,General Govt",52.61,1,,,52.61,1,184,,No men in title
Arts and Cultural Affairs,Publc/Cultural Prgms Spec,29.99,1,,,29.99,1,103,,No men in title
Arts and Cultural Affairs,"Publc/Cultural Prgms Spec,Sr",36.3,1,,,36.3,1,132,,No men in title
Arts and Cultural Affairs,Rec Attendant,,,13.68,1,13.68,1,14,,No women in title
Arts and Cultural Affairs,"Stage Tech,Lead",,,29.04,1,29.04,1,1,,No women in title
Arts and Cultural Affairs,"StratAdvsr1,CSPI&P",35.62,1,,,35.62,1,10,,No men in title
Arts and Cultural Affairs,"StratAdvsr1,Exempt",40.83,1,,,40.83,1,20,,No men in title
Arts and Cultural Affairs,"StratAdvsr2,Exempt",49.22,1,,,49.22,1,79,,No men in title
City Auditor,Admin Staff Asst,30.55,1,,,30.55,1,0,,
City Auditor,Exec Manager-City Auditor,,,65.26,1,65.26,1,41,,No women in title
City Auditor,StratAdvsr-Audit,52.4,7,47.52,1,51.79,8,88,110.27,
City Budget Office,Admin Spec III,26.26,1,,,26.26,1,88,,No men in title
City Budget Office,Admin Staff Asst,31.76,1,,,31.76,1,7,,No men in title
City Budget Office,Executive2,,,68.27,1,68.27,1,40,,No women in title
City Budget Office,Executive4,73.03,1,,,73.03,1,32,,No men in title
City Budget Office,"StratAdvsr1,Exempt",37.19,1,,,37.19,1,10,,No men in title
City Budget Office,"StratAdvsr2,Exempt",44.89,9,43.36,7,44.22,16,34.88,103.55,
City Budget Office,"StratAdvsr3,Exempt",52.77,4,53.88,2,53.14,6,31.83,97.93,
City Employees Retirement Syst,Accountant,30.92,2,,,30.92,2,144,,No men in title
City Employees Retirement Syst,"Accountant,Sr",31.76,1,,,31.76,1,7,,No men in title
City Employees Retirement Syst,Actg Tech I-BU,22.56,2,22.56,1,22.56,3,38.67,100,
City Employees Retirement Syst,Admin Staff Anlyst,36.3,1,,,36.3,1,23,,No men in title
City Employees Retirement Syst,Admin Support Asst-BU,20.61,1,,,20.61,1,64,,No men in title
City Employees Retirement Syst,Executive3,81.97,1,,,81.97,1,64,,No men in title
City Employees Retirement Syst,"Info Technol Prof A,Exempt",53,1,,,53,1,4,,No men in title
City Employees Retirement Syst,Retirement Spec,24.97,3,25.28,1,25.05,4,16,98.79,
City Employees Retirement Syst,"StratAdvsr2,Exempt",,,40.29,1,40.29,1,18,,No women in title
City Employees Retirement Syst,"StratAdvsr3,Exempt",,,52.19,1,52.19,1,32,,No women in title
City Light,Accountant,30.63,4,30.92,3,30.75,7,83.29,99.05,
City Light,"Accountant,Prin",38.48,2,39.96,1,38.97,3,16.67,96.28,
City Light,"Accountant,Sr",35.26,4,33.67,2,34.73,6,55.83,104.73,
City Light,Act Exec,,,43.1,1,43.1,1,38,,No women in title
City Light,Actg Tech I-BU,22.56,1,22.56,1,22.56,2,59.5,100,
City Light,Actg Tech II-BU,24.21,32,24.35,7,24.24,39,128.21,99.44,
City Light,Actg Tech III-BU,26.72,14,26.45,3,26.67,17,82.41,101.01,
City Light,Actg Tech Supv-BU,28.84,3,,,28.84,3,29.67,,No men in title
City Light,Admin Spec I,22.56,2,,,22.56,2,167.5,,No men in title
City Light,Admin Spec I-BU,22.56,5,,,22.56,5,204.2,,No men in title
City Light,Admin Spec II,24.35,3,,,24.35,3,349.67,,No men in title
City Light,Admin Spec II-BU,24.35,25,,,24.35,25,121,,No men in title
City Light,Admin Spec III,26.26,3,,,26.26,3,72.33,,No men in title
City Light,Admin Spec III-BU,25.62,3,,,25.62,3,29.33,,No men in title
City Light,Admin Staff Anlyst,36.3,4,,,36.3,4,119,,No men in title
City Light,Admin Staff Asst,30.05,10,,,30.05,10,45.9,,No men in title
City Light,Admin Support Asst-BU,20.61,1,20.61,1,20.61,2,83.5,100,
City Light,Admin Support Supv-BU,27.78,2,27.78,1,27.78,3,96.67,100,
City Light,Apprenticeship Coord,33.69,2,,,33.69,2,116,,No men in title
City Light,Arboriculturist,,,31.76,1,31.76,1,20,,No women in title
City Light,Asst To The Supt,,,46.41,1,46.41,1,2,,No women in title
City Light,"Auto Engr,Sr",,,40.74,1,40.74,1,23,,No women in title
City Light,"Auto Mechanic,Sr",,,32.6,1,32.6,1,67,,No women in title
City Light,Bldg/Facilities Opns Supv-BU,,,30.58,2,30.58,2,41,,No women in title
City Light,Camp Svc Aide,17.99,2,,,17.99,2,206.5,,No men in title
City Light,"Camp Svc Aide,Sr",19.8,1,,,19.8,1,203,,No men in title
City Light,Capital Prjts Coord,,,41.56,1,41.56,1,107,,No women in title
City Light,Capital Prjts Coord Supv-BU,49.33,1,47.62,1,48.47,2,14,103.59,
City Light,"Capital Prjts Coord,Asst",38.5,1,,,38.5,1,47,,No men in title
City Light,"Capital Prjts Coord,Sr",46.82,7,46.92,16,46.89,23,70.52,99.79,
City Light,Carpenter,30.28,1,30.28,6,30.28,7,155.57,100,
City Light,Carpenter CC,,,34.75,1,34.75,1,359,,No women in title
City Light,Cblspl Aprn,,,31.68,4,31.68,4,14.5,,No women in title
City Light,Cblspl CC-Asg C Coord,,,46.28,2,46.28,2,81,,No women in title
City Light,Cblspl CC-Asg Locator,46.28,1,,,46.28,1,19,,No men in title
City Light,Cblspl CC-Net Area,46.28,3,46.28,16,46.28,19,90.58,100,
City Light,Cblspl-Asg Locator,41.14,1,41.14,2,41.14,3,29.67,100,
City Light,Cblspl-Jrnywkr In Chg,,,43.33,3,43.33,3,31.67,,No women in title
City Light,Cblspl-Net Area,41.14,5,41.14,37,41.14,42,47.02,100,
City Light,City Light Supt,,,117.32,1,117.32,1,111,,No women in title
City Light,Civil Engr Supv,54.66,1,54.66,2,54.66,3,146.33,100,
City Light,"Civil Engr,Assoc",40.86,1,38.62,2,39.37,3,61,105.8,
City Light,"Civil Engr,Asst I",,,30.85,1,30.85,1,27,,No women in title
City Light,"Civil Engr,Asst III",,,37.38,1,37.38,1,115,,No women in title
City Light,"Civil Engr,Sr",50.69,2,50.69,8,50.69,10,123.4,100,
City Light,Civil Engrng Spec Supv,,,45.51,1,45.51,1,60,,No women in title
City Light,"Civil Engrng Spec,Assoc",38.56,1,38.56,6,38.56,7,100.43,100,
City Light,"Civil Engrng Spec,Asst I",,,28.88,2,28.88,2,18.5,,No women in title
City Light,"Civil Engrng Spec,Asst III",35.3,1,,,35.3,1,177,,No men in title
City Light,"Civil Engrng Spec,Sr",43.47,2,42.8,7,42.95,9,79.22,101.57,
City Light,Claims Adjuster I,31.76,1,,,31.76,1,153,,No men in title
City Light,Comms Elctn CC,,,47.15,1,47.15,1,160,,No women in title
City Light,Comms Elctn II,,,41.91,14,41.91,14,207.43,,No women in title
City Light,Comms Elctn Jnywrk-In Chg-Skt,,,44.15,1,44.15,1,49,,No women in title
City Light,Cook,,,25.04,1,25.04,1,33,,No women in title
City Light,Credit Rep,28.83,3,28.58,4,28.69,7,123.29,100.88,
City Light,"Credit Rep,Sr",,,31.41,2,31.41,2,124.5,,No women in title
City Light,Credit&Colls Supv-BU,36.3,1,36.3,1,36.3,2,134.5,100,
City Light,Cust Svc Rep,24.51,20,24.65,4,24.54,24,77.46,99.45,
City Light,"Cust Svc Rep,Sr",26.08,4,,,26.08,4,33.5,,No men in title
City Light,Delivery Wkr,,,21.36,1,21.36,1,161,,No women in title
City Light,Economist,34.32,1,34.32,1,34.32,2,5,100,
City Light,"Economist,Prin",,,47.26,2,47.26,2,34.5,,No women in title
City Light,"Economist,Sr",43.14,2,,,43.14,2,80,,No men in title
City Light,Elctn-Con,41.14,6,41.14,59,41.14,65,79.25,100,
City Light,Elctn-Con Aprn,,,31.84,5,31.84,5,14.8,,No women in title
City Light,Elctn-Con CC,,,46.28,1,46.28,1,38,,No women in title
City Light,Elctn-Con-(OI),41.14,4,41.14,8,41.14,12,180.67,100,
City Light,Elctn-Con-Wkg CC,46.28,2,46.28,11,46.28,13,96.15,100,
City Light,"Elec Engrng Des Spec,Asst II",,,34.6,1,34.6,1,40,,No women in title
City Light,"Elec Engrng Des Spec,Asst III",,,35.99,2,35.99,2,50.5,,No women in title
City Light,Elec-Con CC-Asg Crew Coord,,,46.28,1,46.28,1,62,,No women in title
City Light,Elec-Con Core CC,,,46.28,2,46.28,2,42.5,,No women in title
City Light,Elec-Con(OI)Wkg CC-C Coord,46.28,1,46.28,1,46.28,2,72,100,
City Light,Elec-Con-Wkg CC-Asg C Coord,,,46.28,3,46.28,3,30.33,,No women in title
City Light,Elecl Constr&Maint Supv-BU,55.04,3,54.85,11,54.89,14,57.79,100.34,
City Light,"Elecl Engr,Assoc",39.36,5,39.05,19,39.12,24,45.83,100.79,
City Light,"Elecl Engr,Asst I",30.85,2,29.95,9,30.11,11,36.27,103,
City Light,"Elecl Engr,Asst II",,,33.74,6,33.74,6,35.67,,No women in title
City Light,"Elecl Engr,Asst III",,,36.69,4,36.69,4,144.5,,No women in title
City Light,Elecl Engrng Spec Supv,44.41,3,45.51,2,44.85,5,39.4,97.58,
City Light,"Elecl Engrng Spec,Assoc",37.12,7,37.52,4,37.27,11,45.27,98.93,
City Light,"Elecl Engrng Spec,Asst I",29.05,2,27.52,2,28.29,4,48.25,105.56,
City Light,"Elecl Engrng Spec,Asst II",30.74,2,,,30.74,2,10.5,,No men in title
City Light,"Elecl Engrng Spec,Asst III",34.64,4,,,34.64,4,54,,No men in title
City Light,"Elecl Engrng Spec,Sr",42.85,5,43.25,14,43.14,19,49.47,99.08,
City Light,Elecl Hlpr,,,29.11,5,29.11,5,145.4,,No women in title
City Light,Elecl Hlpr-Bndry,,,29.11,1,29.11,1,272,,No women in title
City Light,Elecl Pwr Systs Engr,51.93,6,51.4,15,51.55,21,44.71,101.03,
City Light,"Elecl Pwr Systs Engr,Prin",54.42,4,55.22,11,55,15,21.53,98.55,
City Light,"Elecl PwrSystsEngr,Prin-Mrt",60.11,1,58.25,10,58.42,11,35.73,103.2,
City Light,Elecl PwrSystsEngr-Mrt,55.08,1,55.08,2,55.08,3,20,100,
City Light,Elecl Quality Assurance Spec,,,37.38,1,37.38,1,19,,No women in title
City Light,Elecl Svc Engr,45.25,1,44.27,5,44.44,6,79,102.21,
