EQUIP_ID,YEAR,MAKE,MODEL,DESCRIPTION,DEPT,SALE_PRICE,SALE_DATE,SOLD_BY,VIN,Equipment Type
94772,2009,FORD,ESCAPE HYBRID,COMPACT SUV - HYBRID,SDCI,"3,661.00",04/16/2020,BIDADOO ONLINE AUCTION,1FMCU493X9KA89708,SUV - SML - HYBRID
96584,2009,WELLS CARGO,CW1422-102,TRAILER - ENCLOSED,SPU,"3,700.00",05/12/2020,BIDADOO ONLINE AUCTION,1WC200F2594071912,TRAILER
03872,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 4,DPR,"9,600.00",04/19/2016,BIDADOO ONLINE AUCTION,5B4KP32Y3Y3322902,VAN - WALKIN
83124,2008,DODGE,SPRINTER,PRISONER VAN - SPRINTER,SPD,"15,800.00",07/15/2020,BIDADOO ONLINE AUCTION,WD0PF045285315732,VAN
98242,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,"3,050.00",08/21/2017,BIDADOO ONLINE AUCTION,2W9MPH6199S044105,SCOOTER
98243,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,"3,800.00",06/29/2017,BIDADOO ONLINE AUCTION,2W9MPHS044106,SCOOTER
93809,2009,JOHN DEERE,62LI XUV GATOR,UTILITY VEHICLE 4 WHEEL,DPR,"8,600.00",02/01/2017,BIDADOO ONLINE AUCTION,MOXUVGX032927,UTILITY VEHICLE
98244,2009,GO-4,INTERCEPTOR III,PEO SCOOTER,SPD,"1,500.00",06/29/2017,BIDADOO ONLINE AUCTION,2W9MPH6129S044107,SCOOTER
31428,2008,PETERBILT,340,SOLID WASTE TRUCK,SPU,"65,000.00",10/19/2018,MURPHYS AUCTION,2NPRLN0X78M758689,TRUCK - HEAVY
01035,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN TRAINING,SPD,125.01,03/13/2017,MURPHYS AUCTION,1P3ES46C9YD856474,SEDAN - SML
06606,2000,HYSTER,H80XM,FORKLIFT - 8000 LB LIFT - LPG,SPU,"14,250.00",02/07/2019,BIDADOO ONLINE AUCTION,K005D03720X,FORKLIFT
71839,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,"5,500.00",11/21/2018,BIDADOO ONLINE AUCTION,JTDKB20U477611653,SEDAN - SML - HYBRID
71866,2007,TOYOTA,PRIUS,COMPACT SEDAN - HYBRID,DPR,"6,100.00",11/21/2018,BIDADOO ONLINE AUCTION,JTDKB20U877621005,SEDAN - SML - HYBRID
71712,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,"7,320.00",11/08/2018,BIDADOO ONLINE AUCTION,JTDKB20U473235477,SEDAN - SML - HYBRID
03356,2000,CHEVROLET,WORK HORSE,WALKIN VAN - CLASS 4,DPR,"6,250.00",04/26/2016,MURPHYS AUCTION,5B4KP32Y5Y3322898,VAN - WALKIN
95966,2009,PETERBILT,335,TRUCK - REFUSE PACKER - CLASS 7,DPR,"34,600.00",05/09/2018,BIDADOO ONLINE AUCTION,2NPRHN8X49M774890,TRUCK - REFUSE PACKER
71458,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,"5,201.00",08/22/2018,MURPHYS AUCTION,JTDKB20U177611884,SEDAN - SML - HYBRID
71459,2007,TOYOTA,PRIUS,SEDAN - COMPACT - HYBRID,SFD,"7,000.00",09/04/2018,BIDADOO ONLINE AUCTION,JTDKB20U377619145,SEDAN - SML - HYBRID
W4344,2008,WELLS CARGO,CW1422-102,TRAILER - ENCLOSED,SPU,"3,250.00",12/19/2019,MURPHYS AUCTION,1WC200F2X84070172,TRAILER
31044,2000,PLYMOUTH,NEON,SUBCOMPACT SEDAN TRAINING,SPD,"3,601.00",05/02/2018,MURPHYS AUCTION,1P3ES46C6YD856481,SEDAN - SML
83917,2008,FORD,F150,PICKUP,DPR,"5,100.00",12/21/2017,MURPHYS AUCTION,1FTPX12558FA12470,TRUCK - LIGHT
35343,2000,EMERGENCY ONE,PUMPER,PUMPER - SIDE MOUNTED CONTROLS,SFD,"5,800.00",05/14/2018,BIDADOO ONLINE AUCTION,4ENRAAA86Y1001206,FIRE - PUMPER
99636,2009,GMC,YUKON,FULLSIZE SUV - 4X4,SPD,"10,400.00",02/15/2018,BIDADOO ONLINE AUCTION,1GKGK46K29R242925,SUV - LRG
58273,2005,GO-4,INTERCEPTOR II,PEO SCOOTER,SPD,"2,900.00",02/22/2016,MURPHYS AUCTION,2W9MPH5535P044103,SCOOTER
31597,2011,FORD,CROWN VICTORIA,PATROL CAR,SPD,"1,325.00",12/27/2018,MURPHYS AUCTION,2FABP7BV9BX176478,SEDAN - PATROL
