Priority,Subcatagory,Priority Issues,Group name,Workshop Date
Education,Academic Support,"Before, after and during school homework help.",Somali community,04/07/2010 07:00:00 AM +0000
Education ,Academic Support,Classroom support for kids who fall behind (school),8,03/22/2010 07:00:00 AM +0000
Education,Academic Support,"More academic support, after-school tutoring",3,02/22/2010 08:00:00 AM +0000
Education,Access,Barriers to Education,12,03/22/2010 07:00:00 AM +0000
Education,Access,Lower-cost driving schools,16,04/08/2010 07:00:00 AM +0000
Education,Access,"The ability to get a great education and hopefully go on to a trade school or college.  To know that life holds more of a future than a lot of kids currently feel they have the ability to attain.  I think the biggest problem today are parents.  I think there are too many men who are not participating in their children's lives, too many young kids are having babies, and then are too young to engage with their children in the education process.",Web,
Education,Accountability,"   Accountability for schools and teachers for high-quality education for all students (eliminate the achievement gap, dropout rate, geographic, economic and ethnic/racial disparities)",8,02/22/2010 08:00:00 AM +0000
Education,Accountability,Accountability and collaboration between parents/teachers/school administration/teachers union,16,03/08/2010 08:00:00 AM +0000
Education,Accountability,"Accountability between parents, students, teachers, principals","Northwest community, group C",05/03/2010 07:00:00 AM +0000
Education,Accountability,"Accountability for teachers, admin, staff, students, state, district and city; lack of commitment.",12,03/01/2010 08:00:00 AM +0000
Education,Accountability,District structure does not support parent view - Board and Superintendent not accountable,2,03/08/2010 08:00:00 AM +0000
Education,Accountability,Ineffective and culturally incompetent teachers and school board.,9,03/08/2010 08:00:00 AM +0000
Education,Accountability,Lack of accountability,School's Out Washington Group B,04/15/2010 07:00:00 AM +0000
Education,Accountability,"Looking at schools' systems to see what is working, what's not working, and where the money is going.",15,03/01/2010 08:00:00 AM +0000
Education ,Accountability,No accountability in public schools,17,03/22/2010 07:00:00 AM +0000
Education,Accountability,"Rebuild confidence in the system: city council, incentives, public school system",1,03/15/2010 07:00:00 AM +0000
Education,Accountability,School employees are not giving good customer service to the community.,Seattle Alliance of Black School Educators,05/01/2010 07:00:00 AM +0000
Education,Accountability,"Seattle schools need to step it up a few notches--there is a sense of complacency and satisfaction even within best schools.  Lots don't have successful scores, which is horrible, and those that do don't seem to want to go further.  With the new neighborhood schools plan, it is very frightening to think that schools could become more segregated and some may stay in a state of failure.  We have to have increased ability to reward great teachers and get rid of crappy ones--Arne Duncan style accountability!",Web,
Education,Accountability,Teacher and principal evaluations.,13,03/01/2010 08:00:00 AM +0000
Education ,Accountability,"Teacher, school district accountability issues",11,03/22/2010 07:00:00 AM +0000
